Type,DSI Name
Computer-driven,"Shanghai Jiao Tong Univ, Shanghai Inst Adv Commun & Data Sci"
Computer-driven,"Univ Calif Berkeley, Berkeley Inst Data Sci"
Computer-driven,"Fudan Univ, Shanghai Key Lab Data Sci"
Computer-driven,"Chinese Univ Hong Kong, Shenzhen Res Inst Big Data"
Computer-driven,"Fuzhou Univ, Coll Comp & Data Sci"
Computer-driven,"Argonne Natl Lab, Data Sci & Learning Div"
Computer-driven,"Changsha Univ Sci & Technol, Hunan Prov Key Lab Intelligent Proc Big Data Tran"
Computer-driven,"Huazhong Univ Sci & Technol, Natl Engn Res Ctr Big Data Technol & Syst"
Computer-driven,"Shiga Univ, Fac Data Sci"
Computer-driven,"East China Normal Univ, Sch Data Sci & Engn"
Computer-driven,"Shenzhen Univ, Natl Engn Lab Big Data Syst Comp Technol"
Computer-driven,Natl Engn Lab Integrated Transportat Big Data App
Computer-driven,"Univ Sci & Technol China, Sch Data Sci"
Computer-driven,"Nanjing Univ Informat Sci & Technol, Jiangsu Key Lab Big Data Anal Technol"
Computer-driven,"Shanxi Univ, Inst Big Data Sci & Ind"
Computer-driven,"Univ Virginia, Sch Data Sci"
Computer-driven,"City Univ Macau, Inst Data Sci"
Computer-driven,"Southwest Univ, Chongqing Engn Res Ctr Remote Sensing Big Data Ap"
Computer-driven,Beijing Adv Innovat Ctr Big Data Based Precis Med
Computer-driven,Jiangsu Key Lab Big Data Secur & Intelligent Proc
Computer-driven,"Sejong Univ, Dept Data Sci"
Computer-driven,"George Mason Univ, Dept Computat & Data Sci"
Computer-driven,"Natl Univ Singapore, Inst Data Sci"
Computer-driven,"Fudan Univ, Shanghai Inst Adv Commun & Data Sci"
Computer-driven,Guangdong Key Lab Big Data Anal & Proc
Computer-driven,"Cent China Normal Univ, Natl Engn Lab Educ Big Data"
Computer-driven,Key Lab Oceanog Big Data Min & Applicat Zhejiang
Computer-driven,"North Univ China, Sch Data Sci & Technol"
Computer-driven,"Ton Duc Thang Univ, Div Data Sci"
Computer-driven,"Noroff Univ Coll, Dept Appl Data Sci"
Computer-driven,"Peking Univ, Ctr Data Sci"
Computer-driven,"Univ Lancaster, Data Sci Inst"
Computer-driven,"Asia Univ, Big Data Res Ctr"
Computer-driven,"Shenzhen Univ, Inst Big Data Intelligent Management & Decis"
Computer-driven,"Tsinghua Univ, Inst Data Sci"
Computer-driven,"Xi An Jiao Tong Univ, Natl Engn Lab Big Data Analyt"
Computer-driven,Jheronimus Acad Data Sci
Computer-driven,"Zhejiang Ocean Univ, Key Lab Oceanog Big Data Min & Applicat Zhejiang"
Computer-driven,"Hefei Univ, Sch Artificial Intelligence & Big Data"
Computer-driven,"Jinan Univ, Big Data Decis Inst"
Computer-driven,"Fujian Prov Univ, Key Lab Data Sci & Intelligence Applicat"
Computer-driven,"Univ Rochester, Goergen Inst Data Sci"
Computer-driven,"Zhejiang Lab, Res Ctr Healthcare Data Sci"
Computer-driven,"Huazhong Univ Sci & Technol, Hubei Engn Res Ctr Big Data Secur"
Computer-driven,"Islamic Azad Univ, Big Data Res Ctr"
Computer-driven,"Graz Univ Technol, Inst Interact Syst & Data Sci"
Computer-driven,"Case Western Reserve Univ, Dept Comp & Data Sci"
Mathematics-driven,"Nankai Univ, Sch Stat & Data Sci"
Mathematics-driven,"Yale Univ, Dept Stat & Data Sci"
Mathematics-driven,"Univ Texas Austin, Dept Stat & Data Sci"
Mathematics-driven,"Guizhou Minzu Univ, Sch Data Sci & Informat Engn"
Mathematics-driven,"Carnegie Mellon Univ, Dept Stat & Data Sci"
Mathematics-driven,"Anhui Univ Sci & Technol, Sch Math & Big Data"
Mathematics-driven,"Vilnius Univ, Inst Data Sci & Digital Technol"
Mathematics-driven,"Zhejiang Univ Finance & Econ, Sch Data Sci"
Mathematics-driven,"Renmin Univ China, Inst Stat & Big Data"
Mathematics-driven,"Univ Calif San Diego, Halicioglu Data Sci Inst"
Mathematics-driven,"Cent European Univ, Dept Network & Data Sci"
Mathematics-driven,"Cornell Univ, Dept Stat & Data Sci"
Mathematics-driven,"Shanxi Univ, Shanxi Key Lab Math Tech & Big Data Anal Dis Cont"
Mathematics-driven,"Southern Univ Sci & Technol, Dept Stat & Data Sci"
Mathematics-driven,"Jiaxing Univ, Coll Data Sci"
Mathematics-driven,"Zhengzhou Univ, Henan Acad Big Data"
Mathematics-driven,"Natl Univ Singapore, Dept Stat & Data Sci"
Mathematics-driven,"Minjiang Univ, Coll Math & Data Sci"
Mathematics-driven,"Henan Normal Univ, Henan Engn Lab Big Data Stat Anal & Optimal Contr"
Mathematics-driven,"Osaka Univ, Ctr Math Modeling & Data Sci"
Mathematics-driven,"Yonsei Univ, Dept Stat & Data Sci"
Mathematics-driven,"Zhejiang Univ, Ctr Data Sci"
Mathematics-driven,Beijing Inst Big Data Res
Mathematics-driven,"Guizhou Univ Finance & Econ, Coll Big Data Stat"
Mathematics-driven,"North Minzu Univ, Key Lab Intelligent Informat & Big Data Proc Ning"
Mathematics-driven,"Natl Cheng Kung Univ, Inst Data Sci"
Mathematics-driven,"Shandong Univ, Data Sci Inst"
Mathematics-driven,"Shaanxi Univ Sci & Technol, Sch Math & Data Sci"
Mathematics-driven,"Nanjing Audit Univ, Sch Stat & Data Sci"
